"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.164842062858111,3,14,4.49107142857143,"HAD-like superfamily","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR036412","APL_1213 serB hisB"
0.167121443875254,9,91,2.0728021978022,"Transition metal ion binding","https://amigo.geneontology.org/amigo/term/GO:0046914","dksA pepP nifU gcp sprT pepN ureA dapE hisD"
0.177685709982922,4,25,3.35333333333333,"Secondary active transmembrane transporter activity","https://amigo.geneontology.org/amigo/term/GO:0015291","sstT APL_1088 pstB panF"
0.178219816535118,2,6,6.98611111111111,"Mixed, incl. LUD domain, and Copper","","ykgF APL_1422"
0.178219816535118,2,6,6.98611111111111,"Mixed, incl. AsnC-type HTH domain, and ROK family","","lrp ftsK"
0.178219816535118,2,6,6.98611111111111,"Arginine biosynthesis","","argD argH"
0.178219816535118,2,6,6.98611111111111,"Amine metabolic process","https://amigo.geneontology.org/amigo/term/GO:0009308","trpE trpD"
0.178219816535118,2,6,6.98611111111111,"Oxo-acid-lyase activity","https://amigo.geneontology.org/amigo/term/GO:0016833","trpE nanA"
0.178219816535118,2,6,6.98611111111111,"Hexapeptide repeat","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR001451","cysE dapD"
0.178219816535118,2,6,6.98611111111111,"Hexapeptide transferase, conserved site","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR018357","cysE dapD"
0.178219816535118,2,6,6.98611111111111,"Schiff base","https://www.uniprot.org/keywords/KW-0704","dapA nanA"
0.190443393156328,5,38,2.75767543859649,"Acyltransferase activity, transferring groups other than amino-acyl groups","https://amigo.geneontology.org/amigo/term/GO:0016747","gcp cysE dapD fabG rimI"
0.191964251881224,4,26,3.22435897435897,"Aspartate family amino acid metabolic process","https://amigo.geneontology.org/amigo/term/GO:0009066","dapA thrC dapD dapE"
