"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00206460476502062,8,33,5.08080808080808,"Oxidoreductase activity, acting on CH-OH group of donors","https://amigo.geneontology.org/amigo/term/GO:0016614","glpB leuB aroE serA wecC ilvC fabG hisD"
0.00231903833755641,30,325,1.93461538461538,"Metal ion binding","https://amigo.geneontology.org/amigo/term/GO:0046872","recR ilvD ilvG engC leuC dksA dxs mutT leuB ykgF sucC pepP ilvI nifU bioD2 gcp trpE trpD serB sprT pepN APL_1422 apxIA lipA ureA ilvC dapE hisG hisD hisB"
0.00249861287258589,62,925,1.40477477477477,"Metabolic process","https://amigo.geneontology.org/amigo/term/GO:0008152","ilvE recR ilvD ilvG leuC aroF dxs mutT argD metC glpB leuB gapA ykgF sucC rplY mukB rpsI aspC pepP metB hisC serC ilvI aroC APL_0761 dapA hscA nifU bioD2 gcp APL_1125 aroE trpE trpD argH APL_1194 serB ptsB pepN mltF serA thrC cysE poxA wecC lipA mrdA ureA glmS nanA rpmD ilvC dapD dapE proA fabG rimI hisG hisD hisB hisA"
0.00300221120704759,30,330,1.90530303030303,"Cation binding","https://amigo.geneontology.org/amigo/term/GO:0043169","recR ilvD ilvG engC leuC dksA dxs mutT leuB ykgF sucC pepP ilvI nifU bioD2 gcp trpE trpD serB sprT pepN APL_1422 apxIA lipA ureA ilvC dapE hisG hisD hisB"
0.0033568247143353,7,27,5.43364197530864,"Oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","https://amigo.geneontology.org/amigo/term/GO:0016616","leuB aroE serA wecC ilvC fabG hisD"
0.00371825157095257,58,853,1.42506838608832,"Organic substance metabolic process","https://amigo.geneontology.org/amigo/term/GO:0071704","ilvE recR ilvD ilvG leuC aroF dxs mutT argD metC glpB leuB gapA ykgF rplY mukB rpsI aspC pepP metB hisC serC ilvI aroC APL_0761 dapA bioD2 gcp APL_1125 aroE trpE trpD argH APL_1194 serB pepN mltF serA thrC cysE poxA wecC lipA mrdA ureA glmS nanA rpmD ilvC dapD dapE proA fabG rimI hisG hisD hisB hisA"
0.00403403416693569,6,20,6.2875,"Dicarboxylic acid biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0043650","aroF aroC dapA aroE dapD dapE"
0.00512232793553588,7,29,5.05890804597701,"Carbon-oxygen lyase activity","https://amigo.geneontology.org/amigo/term/GO:0016835","ilvD leuC aroC dapA mltF thrC hisB"
0.00512232793553588,7,29,5.05890804597701,"Pyridoxal phosphate","https://www.uniprot.org/keywords/KW-0663","ilvE argD metC metB hisC serC thrC"
0.00537127179249122,5,14,7.48511904761905,"Aromatic amino acid biosynthesis","https://www.uniprot.org/keywords/KW-0057","aroF aroC aroE trpE trpD"
0.00752974805287736,5,15,6.98611111111111,"Aromatic amino acid family metabolic process","https://amigo.geneontology.org/amigo/term/GO:0009072","aroF aroC aroE trpE trpD"
0.00752974805287736,5,15,6.98611111111111,"Aromatic amino acid family biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0009073","aroF aroC aroE trpE trpD"
0.00816562853003804,4,9,9.31481481481481,"Cysteine metabolic process","https://amigo.geneontology.org/amigo/term/GO:0006534","metC metB APL_1125 cysE"
0.00816562853003804,12,85,2.95882352941176,"Lyase","https://www.uniprot.org/keywords/KW-0456","ilvD leuC metC aroC dapA APL_1125 trpE argH mltF thrC nanA hisB"
0.0108936162363158,12,88,2.85795454545455,"Lyase activity","https://amigo.geneontology.org/amigo/term/GO:0016829","ilvD leuC metC aroC dapA APL_1125 trpE argH mltF thrC nanA hisB"
0.0139480650511867,3,5,12.575,"Acetolactate synthase activity","","ilvG ilvI ilvC"
0.0139480650511867,3,5,12.575,"Leucine metabolic process","https://amigo.geneontology.org/amigo/term/GO:0006551","ilvE leuC leuB"
0.0139480650511867,3,5,12.575,"Leucine biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0009098","ilvE leuC leuB"
0.0139480650511867,3,5,12.575,"Diaminopimelate biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0019877","dapA dapD dapE"
0.0139480650511867,3,5,12.575,"Thiamine pyrophosphate binding","https://amigo.geneontology.org/amigo/term/GO:0030976","ilvG dxs ilvI"
0.0139480650511867,3,5,12.575,"Quaternary ammonium group binding","https://amigo.geneontology.org/amigo/term/GO:0050997","ilvG dxs ilvI"
0.0139480650511867,3,5,12.575,"Diaminopimelate biosynthesis","https://www.uniprot.org/keywords/KW-0220","dapA dapD dapE"
0.0174277263461735,10,69,3.03743961352657,"Magnesium ion binding","https://amigo.geneontology.org/amigo/term/GO:0000287","ilvD ilvG dxs leuB sucC ilvI bioD2 trpD ilvC hisG"
0.020678345671333,85,1533,1.1620732767993,"Cellular anatomical entity","https://amigo.geneontology.org/amigo/term/GO:0110165","ftsA dppF ilvE recR ilvD ilvG proQ engC gcvA cysB leuC dksA aroF dxs mutT argD glpB leuB gapA sucC rplY mukB rpsI fieF ftsK ompP2 aspC pepP hisC serC ilvI aroC sstT dapA plpA hscA nifU bioD2 arcD gcp APL_1125 aroE trpD argH APL_1194 APL_1213 serB pstB ptsB pepN artI mltF APL_1422 apxIA serA thrC cysE APL_1516 poxA wecC exbD modF lipA mrdA ureA cbiO glmS gntR-2 dmsD APL_1705 secE nanA rpmD ilvC dapD dapE dnaK panF proA fabG rimI hisG hisD hisB hisA"
0.0207774232814146,9,59,3.19703389830508,"Sulfur compound metabolic process","https://amigo.geneontology.org/amigo/term/GO:0006790","dxs metC metB hscA nifU bioD2 APL_1125 cysE lipA"
0.0224365504295763,22,243,1.89746227709191,"Metal-binding","https://www.uniprot.org/keywords/KW-0479","recR ilvD ilvG engC leuC dksA dxs leuB sucC pepP ilvI bioD2 gcp trpE trpD sprT lipA ilvC dapE hisG hisD hisB"
0.0239757795417519,4,12,6.98611111111111,"Serine family amino acid biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0009070","serC serB serA cysE"
0.0250525727218666,3,6,10.4791666666667,"Thiamine pyrophosphate","https://www.uniprot.org/keywords/KW-0786","ilvG dxs ilvI"
0.0254764545919094,5,20,5.23958333333333,"Glutamine family amino acid biosynthetic process, and Lysine biosynthesis","","argD dapA argH dapD proA"
0.032237029163664,4,13,6.44871794871795,"Arginine metabolic process, and Lysine biosynthesis","","argD dapA argH dapD"
0.040003344697332,59,953,1.29752535851696,"Intracellular","https://amigo.geneontology.org/amigo/term/GO:0005622","ilvE recR ilvD ilvG proQ gcvA cysB leuC dksA aroF dxs mutT argD glpB leuB gapA sucC rplY rpsI aspC pepP hisC serC ilvI aroC dapA hscA nifU bioD2 APL_1125 aroE trpE trpD APL_1194 APL_1213 APL_1422 serA thrC cysE poxA wecC lipA ureA glmS gntR-2 dmsD nanA rpmD ilvC dapD dapE dnaK proA fabG rimI hisG hisD hisB hisA"
0.040003344697332,3,7,8.98214285714286,"Thiamin diphosphate-binding fold","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR029061","ilvG dxs ilvI"
0.040003344697332,3,7,8.98214285714286,"Lysine biosynthesis","https://www.uniprot.org/keywords/KW-0457","dapA dapD dapE"
